Geneid    	WD_NOnub_Rep1  	WD_NOnub_Rep2  	WD_NOnub_Rep3  	WD_SUMOnub_Rep1	WD_SUMOnub_Rep2	WD_SUMOnub_Rep3
FBgn0029770	0              	0              	1              	0              	0              	0              
FBgn0029771	611            	635            	677            	662            	742            	631            
FBgn0026702	620            	770            	654            	797            	693            	652            
FBgn0004687	5818           	5730           	5544           	5423           	5647           	5763           
FBgn0029778	895            	852            	877            	813            	995            	939            
FBgn0052762	0              	1              	1              	0              	0              	0              
FBgn0029769	0              	1              	0              	0              	0              	0              
FBgn0029762	6              	7              	116            	2              	1              	0              
FBgn0029756	368            	362            	365            	310            	364            	283            
FBgn0028474	4049           	4214           	3886           	4033           	3416           	3368           
FBgn0029785	26431          	26453          	26238          	25465          	27341          	27861          
FBgn0003747	4              	1              	2              	1              	4              	3              
FBgn0000394	1229           	1264           	1214           	512            	544            	457            
FBgn0029791	2382           	3101           	2689           	3770           	3097           	3196           
