GENEID	log2BaseMean	log2Ratio	Stderr_log2Ratio	pvalue	padjust
FBgn0041627	9.87332525508315	1.24038126735067	0.126095903865879	7.81506153724013e-23	8.47961517698495e-21
FBgn0037487	8.3498492446651	2.25139110889768	0.228880566116867	7.83653460525477e-23	8.47961517698495e-21
FBgn0035608	7.21557510981574	7.48618857958279	0.762179430523448	9.04560701241355e-23	9.68802971451965e-21
FBgn0270926	9.2493091741534	-1.66901150729872	0.170118424403012	1.01082796046712e-22	1.07168184576393e-20
FBgn0033130	6.07223335616188	-4.17843565575676	0.426073223250628	1.05202628029806e-22	1.10420678380084e-20
FBgn0262636	6.48942784683653	6.48757061445667	0.6619746354415	1.12217187960239e-22	1.16616990577294e-20
FBgn0032455	12.3013565466492	0.810711424548206	0.0828390961202496	1.28571519237891e-22	1.32302614305971e-20
FBgn0259163	10.8056011713029	-0.704283787422895	0.0725155415669063	2.67559910289786e-22	2.72651341592388e-20
FBgn0000273	12.3626187106345	-0.614070859637035	0.0632689285581341	2.8504087472007e-22	2.87672021255947e-20
FBgn0267081	6.28059807491901	5.52738816717765	0.569989148065708	3.09410106809368e-22	3.09292236292488e-20
FBgn0001078	10.2490120697309	2.13715460167563	0.220814377188	3.72091920602763e-22	3.68441207419491e-20
FBgn0265416	6.07332785272001	-5.44724580612749	0.562992958255957	3.83164317925463e-22	3.75859129060342e-20
FBgn0038470	9.98093236512566	1.29302021502812	0.134460018561368	6.81809706782577e-22	6.62618026147216e-20
FBgn0013811	7.35510569683349	1.96848379811699	0.205267358683071	8.82105887266767e-22	8.49411320435962e-20
FBgn0267041	7.50649982717871	2.41341615623131	0.252230297972546	1.08673744231691e-21	1.03694510859621e-19
FBgn0035501	10.4478323651439	2.42109079584604	0.254203554494318	1.66284575651342e-21	1.57236297841125e-19
FBgn0010383	7.5783727216901	3.02078244154153	0.317904052284949	2.05535836174136e-21	1.92616440757476e-19
FBgn0033732	6.02852636770778	4.47693890077496	0.472959293219323	2.91317564886351e-21	2.7059019124311e-19
FBgn0085438	7.11362238448405	2.86882168725655	0.304513168996512	4.46768453143598e-21	4.11340498613614e-19
FBgn0035049	11.8654278028618	1.50710833839231	0.159991840285066	4.51485531669321e-21	4.12068881774017e-19
FBgn0036702	12.0377102522485	0.629249785079088	0.0670172665611979	6.03612896432384e-21	5.46165600082268e-19
FBgn0033987	12.7637364326641	-0.383967548246733	0.0409981974219041	7.57097600130527e-21	6.79187727433335e-19
FBgn0001248	13.6845259436544	-0.515498904807713	0.0552667309493738	1.08425720655646e-20	9.64437596611573e-19
FBgn0004583	14.0689635328339	-0.287314721120206	0.0309605960601954	1.69458546082646e-20	1.49465285687685e-18
FBgn0026573	11.8465227723467	0.436280630578682	0.0474067113683699	3.48320878192331e-20	3.04664661458893e-18
FBgn0000658	12.6609363270715	-0.517318975276307	0.056335118003129	4.19688939610972e-20	3.6405414133527e-18
FBgn0263241	9.66566019900454	1.29180113885517	0.140863055276175	4.70318990504213e-20	4.0462853478133e-18
FBgn0259173	10.7688080679998	0.916294959540359	0.100337834366717	6.71843163915677e-20	5.73306166541377e-18
FBgn0030011	7.12713125191591	-1.87030841736092	0.205574715808619	9.20531388394465e-20	7.79185278434541e-18
FBgn0010173	12.643487206232	0.623054358527009	0.0686738513695817	1.16148521909836e-19	9.75275908772512e-18
FBgn0086680	12.902352856658	-0.695009069484879	0.076651097717893	1.22140417035024e-19	1.01744906126954e-17
FBgn0033708	6.51917539757732	-3.18983125679392	0.35248208581887	1.43458070068198e-19	1.18561882160299e-17
FBgn0032393	10.5719958671725	0.916111838388116	0.101321205606055	1.5431114155236e-19	1.26535136072935e-17
FBgn0003071	12.1315111102519	-0.47132759855765	0.0521734281783938	1.65716253801513e-19	1.33796753838514e-17
FBgn0052625	7.15278169686008	4.28688509655829	0.474505835021549	1.64874132138091e-19	1.33796753838514e-17
FBgn0030628	9.77279541960759	0.953812320877628	0.1057292804017	1.85922273193308e-19	1.48964899193661e-17
FBgn0002962	8.32705446929326	10.8213778324575	1.20076618935924	2.02220280680625e-19	1.60795762577564e-17
FBgn0053542	6.99473735869443	4.5802984198817	0.509195030447899	2.35856112334025e-19	1.86131259778791e-17
FBgn0030941	9.82319071565401	-1.07927180456779	0.120120756970255	2.58992917803476e-19	2.02864900392932e-17
FBgn0030904	6.45428171524293	6.225171054075	0.695370263537372	3.48115686693065e-19	2.70653499817068e-17
FBgn0031855	6.40467857942709	6.66647922623378	0.745108812563344	3.65315641172611e-19	2.81937718363803e-17
FBgn0259878	9.85176214903214	-0.904097008352772	0.101897118933335	7.14284634099422e-19	5.47235877336316e-17
FBgn0032330	11.3214178240131	-0.701501925852181	0.0790816715978694	7.27524265470474e-19	5.53340194954934e-17
FBgn0025111	7.75906416687029	1.78574958204302	0.202000467241003	9.54414080437836e-19	7.20685625055794e-17
FBgn0038958	6.44412120441512	3.46155478745314	0.395738420525891	2.18948579643173e-18	1.64148877995339e-16
FBgn0032749	6.43115702843623	6.42590869921529	0.737234807021229	2.87616809855941e-18	2.1410113732255e-16
FBgn0010258	7.75853413109406	4.59611128796904	0.529220053600045	3.79781835210333e-18	2.80717615659694e-16
FBgn0035996	8.26444077002596	2.19566307265534	0.25334607207846	4.44999687143886e-18	3.26623546591764e-16
FBgn0033108	7.26154050494113	10.7186796996264	1.23704722956495	4.52586046274033e-18	3.29884940395295e-16
FBgn0287614	7.74352414546942	1.4382005763295	0.166350426249837	5.35195502354852e-18	3.87407723635623e-16
FBgn0036899	9.92668895814598	-1.20056185161413	0.139128782167848	6.18145554029074e-18	4.44387379115696e-16
FBgn0261530	9.95109333544481	0.811807850953309	0.0941576779844831	6.59147446139427e-18	4.70640244536015e-16
