WD_NOnub_Rep1	WD_NOnub_Rep2	WD_NOnub_Rep3	WD_SUMOnub_Rep1	WD_SUMOnub_Rep2	WD_SUMOnub_Rep3
FBgn0025624	413.386339519517	427.993007570428	501.565523787438	418.859420378179	532.71773815782	494.337865913112
FBgn0040395	1472.81364925432	1252.78135473349	1131.76316003726	1078.61216937761	903.392057864593	1008.081557141
FBgn0000382	1395.9277841746	1353.19884853703	1462.81634870014	1911.41481975394	1989.08296148661	1978.37282287954
FBgn0023507	459.318155021686	594.705545826791	684.043636815472	626.322654415258	502.334597198249	539.277671905213
FBgn0004654	1990.04583251787	1927.43092475339	1902.55868665295	1875.03501094175	1643.72792591282	1496.29126769155
FBgn0023540	1415.89813874076	1438.01750835167	1481.76216371398	1019.6178848173	1272.04083484073	1225.63107251185
FBgn0025839	469.303332304766	534.260064119806	444.728078745919	552.579798714875	381.814804725282	331.941748805292
FBgn0011576	116.826574212038	110.166765046602	219.37259489709	217.29561479713	160.01787572041	225.720389187599
FBgn0015036	1.99703545661603	0.974927124306215	2.99144447586941	1.96647615201023	1.01277136531905	3.06407768127962
FBgn0003116	92.8621487326452	80.9189513174158	119.657779034777	84.5584745364399	110.392078819776	107.242718844787
FBgn0040899	258.616091631775	265.18017781129	195.441039090135	223.195043253161	245.09067040721	177.716505514218
FBgn0040900	1.99703545661603	1.94985424861243	0.997148158623138	11.7988569120614	11.1404850185095	13.2776699522117
FBgn0024984	5.99110636984808	10.7241983673684	6.98003711036196	21.6312376721125	22.2809700370191	23.4912622231438
FBgn0023549	346.485651722881	30.2227408534927	617.234710187722	191.731424820997	46.5874828046763	130.733981067931
FBgn0003048	2917.66880211601	2967.67816638812	2889.73536368985	2862.20603925089	2541.0433555855	2419.60000898381
FBgn0000810	1374.95891188013	1418.51896586554	1340.1671251895	1484.68949476772	1396.61171277497	1266.48544159558
FBgn0023523	18.9718368378523	9.74927124306215	15.9543705379702	27.5306661281432	32.4086836902096	24.512621450237
FBgn0023527	981.542926926777	1174.78718478899	977.205195450675	973.405695245064	943.902912477354	904.924275204581
FBgn0040391	0.998517728308013	5.84956274583729	0.997148158623138	1.96647615201023	5.06385682659525	2.04271845418641
FBgn0053218	2.99555318492404	0.974927124306215	3.98859263449255	1.96647615201023	3.03831409595715	4.08543690837283
FBgn0003079	1598.62688302113	1686.62392504975	1593.44275747977	1749.1805372131	1779.43928886557	1672.98641397867
FBgn0003159	262.610162545007	265.18017781129	400.853559766501	255.64189976133	390.929747013153	337.048544940758
FBgn0040389	608.09729653958	625.90321380459	472.648227187367	498.501704534593	476.002541699953	493.316506686019
FBgn0044047	198.705027933295	44.8466477180859	416.807930304472	250.725709381304	161.030647085729	155.246602518167
FBgn0040392	44.9332977738606	47.7714290910045	47.8631116139106	85.541712612445	120.519792472967	90.9009712112954
FBgn0023526	875.700047726128	881.334120372818	872.504638795246	603.708178667141	530.692195427182	594.431070168247
FBgn0023529	10264.7622470064	8666.12720795794	8388.01031033784	8150.0604120064	7484.38038970778	8024.81944727133
FBgn0023528	3417.92618399833	3389.82161121271	3283.60888634599	2974.29517991547	2944.12635898248	3307.1611773278
FBgn0027296	235.650183880691	240.806999703635	254.2727804489	281.206089737463	305.856952326353	360.539807163902
FBgn0023524	0.998517728308013	3.89970849722486	0.997148158623138	4.91619038002558	3.03831409595715	3.06407768127962
FBgn0023525	36.9451559473965	42.8967934694734	34.9001855518098	38.3462849641995	93.1749656093526	65.3669905339653
FBgn0000377	1454.84033014478	1675.89972668238	1597.43135011427	1621.35958733244	1762.22217565515	1695.45631697472
FBgn0001330	1078.39914657265	1136.76502694105	1003.13104757488	1086.47807398565	1053.28221993181	1012.16699404937
FBgn0004397	2856.75922068923	2818.51431636927	2731.18880646877	3081.46813020003	3321.89007824648	3114.12428340719
FBgn0023550	1.99703545661603	0	2.99144447586941	7.86590460804092	1.01277136531905	0
FBgn0023542	1481.80030880909	1516.98660542047	1438.88479289319	1410.94663906734	1520.16981934389	1461.56505397038
FBgn0023541	33.9496027624725	31.1976679777989	38.8887781863024	58.0110464843018	47.6002541699953	49.0252429004739
FBgn0005670	131.804340136658	19.4985424861243	158.546557221079	164.200758692854	8.1021709225524	50.0466021275671
FBgn0004655	3319.07292889584	3457.09158278984	3320.50336821505	3440.3500279419	3168.96160208331	3308.1825365549
FBgn0013432	689.975750260837	594.705545826791	635.183377042939	649.920368239381	663.365244283978	742.528158096762
FBgn0004861	4369.51357907587	4322.82686917376	4545.00130700426	3925.08639941242	3755.35622260304	3531.86020728831
FBgn0004860	3540.74386458021	3609.18021418161	3697.42537217459	3603.56754855875	3350.24767647542	3231.58059452291
FBgn0040394	2043.9657898465	2181.88690419731	2155.83431894322	1998.9230085184	2108.58998259426	2012.07767737362
FBgn0040066	2315.56261194628	2411.96970553358	2098.9968739017	2229.0007183036	2045.79815794448	2097.87185244945
FBgn0001404	1455.83884787308	1282.02916846267	1415.95038524486	1332.28759298693	1248.74709343839	1288.95534459163
FBgn0040336	161.759871985898	183.286299369568	188.461001979773	191.731424820997	188.375473949343	172.609709378752
